15.54,5900,4.4,0.05,0.1,1.05,10.39,3.58,0.07
13.49,5150,3.6,0.06,0.15,1.32,0.48,5.21,0.05
15.35,5260,4.3,0.04,0.2,1,0.85,2.85,0.08
13.3,6558,4.25,0.06,0.14,1.41,21.77,4.26,0
14.7,5225,4.4,0.06,0.44,1.01,59.2,5.82,0.07
13.7,6344,4.82,0.09,0.15,1.14,0.72,9.2,0
14,6240,4.46,0.05,0.04,1.13,0.47,4.04,0.09
13.9,6090,4.42,0.09,-0.2,1.05,2.96,8.89,0.1
11.7,5288,4.4,0.02,0.02,0.85,,0.85,0
11.7,5288,4.4,0.05,0.02,0.85,0.03,3.7,0
14.8,5143,4.42,0.06,0.22,0.87,,6.21,0
13.7,5613,4.35,0.41,-0.02,0.94,0.84,95.27,0.11
16.26,3740,,0.01,-0.85,,6.2,0.45,
16.26,3740,,662,-0.85,,4.7,,
,,,0.36,-0.85,,31.5,247.75,0.36
,,1,148,-0.85,,5.58,,
12.5,5830,4.04,,0.13,1.26,0.04,5.66,0.12
17,3830,4.65,0.01,0.03,0.52,1.4,0.38,
11.8,4924,4.65,,-0.03,0.79,,1.42,
11.8,4924,4.65,,-0.03,0.79,,5.34,
12.52,5413,4.52,,-0.03,0.93,,4.44,
12.52,5413,4.52,,-0.03,0.93,,6.43,
12.52,5413,4.52,,-0.03,0.93,,14.09,
11.39,5757,4.35,,0.28,1.14,,4.02,
11.39,5757,4.35,,0.28,1.14,,10.56,
12.31,5315,4.43,0.08,0,0.93,0.05,8.99,0.21
12.31,5315,4.43,0.14,0,0.93,0.04,20.66,
12.31,5315,4.43,0.19,0,0.93,0.03,31.72,
16,3540,,0.04,-0.85,,3.6,5.43,0
,3880,,,0.14,,,21.17,0.18
,4819,,,0.14,,,14.68,0.1
,3660,,,0.14,,,1.97,0.18
,4695,,,0.14,,,9.92,0.1
,6120,,,0.14,,,1.67,0.24
,6030,4.07,0.05,0.1,1.29,0.84,3.31,
11.7,5287,4.52,0.18,0.21,0.95,0.38,28.38,0
12.5,5850,4.38,0.06,0.03,1.1,36.5,5.29,0.19
13.68,5627,4.4,0.06,0.18,1.07,1.28,5.82,0
12,5814,4.41,0.01,-0.28,1,,0.57,0
12,5814,4.41,0.06,-0.28,1,,13.34,0
12.85,4043,,0.07,-0.11,,,9.32,
12.85,4043,,0.1,-0.11,,,15.5,
15.88,3180,,,0.15,,,3.48,0.27
4.14,4436,1.94,1.3,-0.22,1.44,6.7,417.9,0.11
3.73,5049,4.45,3.39,-0.15,0.76,3.09,2502,0.7
3.53,4946,2.62,1.9,0.17,2.73,7.34,594.9,0.15
3.45,4528,2.36,1.27,0.07,4.51,2.55,403.5,0.13
3.45,4528,2.36,1.93,0.07,4.51,3.32,751.9,0.1
2.01,4395,1.66,1.19,-0.47,3.7,63.9,428.5,0.14
3.22,4764,3.1,2.05,0.13,1.26,11.1,903.3,0.05
13.5,3270,5.06,0.02,-0.12,0.18,0.01,1.63,0
14.71,2805,5.06,0.01,0.08,0.15,,1.58,0.27
8.08,3567,4.9,0.07,-0.32,0.42,,11.44,0
9.68,4347,,0.05,-0.85,0.69,,5.24,0.06
11.8,3223,4.87,0.06,-0.02,0.4,0.03,8.63,0.01
11.8,3223,4.87,0.13,-0.02,0.4,0.02,25.65,0.09
